iter	Logloss
0	0.6761400985
1	0.6564699438
2	0.6397174956
3	0.6208351274
4	0.6034392939
5	0.5900123769
6	0.579641013
7	0.5639657382
8	0.5531238065
9	0.5439763394
10	0.5355904687
11	0.5232805042
12	0.5166340718
13	0.509266891
14	0.5005653365
15	0.4944218484
16	0.4879204693
17	0.4807909354
18	0.474299745
19	0.4703606396
20	0.4637405186
21	0.4575024651
22	0.4527550139
23	0.4497548685
24	0.445403046
25	0.4419418502
26	0.4373223808
27	0.4332982098
28	0.4297108266
29	0.4257328138
30	0.4233193734
31	0.4224706974
32	0.4183469461
33	0.4153513713
34	0.4130322475
35	0.4096016196
36	0.4080610993
37	0.4060016438
38	0.4032965154
39	0.400075737
40	0.3976081208
41	0.3957221868
42	0.3927395709
43	0.3918464393
44	0.3894149098
45	0.3886118213
46	0.386347406
47	0.3838523013
48	0.3810164142
49	0.3785996711
50	0.3773201306
51	0.3755378181
52	0.3749097217
53	0.3729736798
54	0.3720723783
55	0.3709716876
56	0.3686663526
57	0.367785862
58	0.3663214614
59	0.364685664
60	0.3638553733
61	0.362446662
62	0.3614510227
63	0.3601368027
64	0.3586576159
65	0.3571161926
66	0.3560711897
67	0.3552590126
68	0.3542045517
69	0.3529169772
70	0.3510963296
71	0.3495461414
72	0.3488246897
73	0.3474300179
74	0.3457743254
75	0.3447614312
76	0.3442168194
77	0.342738578
78	0.3421817306
79	0.3410852869
80	0.3403201006
81	0.3396073089
82	0.3389095625
83	0.3383366909
84	0.3374329213
85	0.336378994
86	0.3358376943
87	0.3350137237
88	0.3347334194
89	0.3335590295
90	0.332467027
91	0.3323997028
92	0.3321740599
93	0.3312808962
94	0.3307583829
95	0.3304740447
96	0.3298201628
97	0.3290322767
98	0.328299965
99	0.3277780639
100	0.3267797072
101	0.3267370196
102	0.3261087375
103	0.3256003104
104	0.3247271365
105	0.3239204854
106	0.322941915
107	0.3226882392
108	0.3221873965
109	0.3211642186
110	0.32074956
111	0.3201012651
112	0.3198685402
113	0.3190182567
114	0.3185385289
